#,restaurantName,region,district,neighborhood,address,phone,whatsapp,publicEmail,emailTrust,website,instagram,googleMapsUrl,googleRating,googleReviewCount,websiteStatus,websiteScore,leadScore,priority,problem1,problem2,problem3,websiteAnalysis,opportunities,salkayPitch,source,dateChecked,contactStatus,outreachNotes,importMode,recordSafety
45,Sele Restaurant,ANADOLU,Ümraniye,Yamanevler,"Yamanevler, Dr. Fazıl Küçük Cd. No:8/1-BD, 34768 Ümraniye/İstanbul",+90 530 527 06 79,,info@selerestaurant.com,OFFICIAL_VERIFIED,https://selerestaurant.com.tr,,https://www.google.com/maps/search/?api=1&query=Sele+Restaurant+%C3%9Cmraniye+Istanbul,,,GOOD,7.2,4.2,QUALIFIED_OUT,Mevcut site yeterli seviyede; ilk redesign hedefi değil.,,,Mevcut site yeterli seviyede; ilk redesign hedefi değil.,Local SEO ve dönüşüm optimizasyonu ancak ikincil fırsat.,İlk outreach grubuna alma.,Prior final research; official website and/or current public business records where noted,2026-09-07,NOT_CONTACTED,Official email/site verified in prior final research.,DRY_RUN_ONLY,FINAL_RESEARCH_SAFE
46,KAF Cafe Restoran / KAF Kısıklı,ANADOLU,Üsküdar,Burhaniye,"Burhaniye, Nurbaba Sokağı No:27, 34676 Üsküdar/İstanbul",+90 216 401 27 27,,info@kafkisikli.com,OFFICIAL_VERIFIED,https://kafkisikli.com,,https://www.google.com/maps/search/?api=1&query=KAF+Cafe+Restoran+%2F+KAF+K%C4%B1s%C4%B1kl%C4%B1+%C3%9Csk%C3%BCdar+Istanbul,4.0,1710,GOOD,7.0,4.0,QUALIFIED_OUT,Mevcut site yeterli; ana fırsat tam redesign değil.,,,Mevcut site yeterli; ana fırsat tam redesign değil.,Local SEO/CTA iyileştirmeleri.,İlk outreach grubuna alma.,Prior final research; official website and/or current public business records where noted,2026-09-07,NOT_CONTACTED,Official-site alternative phone: +90 505 120 86 53.,DRY_RUN_ONLY,FINAL_RESEARCH_SAFE
47,Cremia Cafe & Rest,ANADOLU,Üsküdar,Mimar Sinan,"Mimar Sinan Mah., Uncular Cd. No:26/A, 34674 Üsküdar/İstanbul",+90 535 885 36 38,,info@cremiacafe.com,OFFICIAL_VERIFIED,https://cremiacafe.com,,https://www.google.com/maps/search/?api=1&query=Cremia+Cafe+%26+Rest+%C3%9Csk%C3%BCdar+Istanbul,3.8,289,WEAK,3.4,8.8,HIGH,Canlı sitede demo/template sayfaları ve Lorem ipsum içerikleri bulunuyor.,İletişim/footer e-posta bilgileri kendi içinde tutarsız.,,Canlı sitede demo/template sayfaları ve Lorem ipsum içerikleri bulunuyor.,Tam temizlik + premium redesign + Üsküdar local SEO + rezervasyon/WhatsApp dönüşümü.,Canlı sitedeki hazır şablon kalıntılarını somut örnek olarak göster.,Prior final research; official website and/or current public business records where noted,2026-09-07,NOT_CONTACTED,Primary current phone from business record. Official-site phone: +90 537 724 59 04. Footer conflict: info@cremia.com; use info@cremiacafe.com.,DRY_RUN_ONLY,FINAL_RESEARCH_SAFE
48,Kadıköy Sofrası,ANADOLU,Kadıköy,Osmanağa,"Osmanağa Mah., Gazi Osman Paşa Sk. No:2, 34714 Kadıköy/İstanbul",+90 216 336 73 51,,,NOT_FOUND,,,https://www.google.com/maps/search/?api=1&query=Kad%C4%B1k%C3%B6y+Sofras%C4%B1+Kad%C4%B1k%C3%B6y+Istanbul,4.8,296,NO_WEBSITE,,9.2,HIGH,Bağımsız resmî web sitesi doğrulanmadı.,,,Bağımsız resmî web sitesi doğrulanmadı.,Yeni marka sitesi + menü + Kadıköy local SEO + telefon/WhatsApp dönüşümü.,Yüksek puanlı işletmenin Google görünürlüğünü kendi domainine taşı.,Prior final research; official website and/or current public business records where noted,2026-09-07,NOT_CONTACTED,Alternative third-party phone: +90 535 866 11 26.,DRY_RUN_ONLY,FINAL_RESEARCH_SAFE
49,Nazenin Restaurant / Nazenin Et & Kebap,ANADOLU,Ataşehir,Küçükbakkalköy,"Küçükbakkalköy Mah., Emel Sok. No:11, 34750 Ataşehir/İstanbul",+90 216 573 89 89,,info@nazeninrestaurant.com,OFFICIAL_VERIFIED,https://nazeninrestaurant.com,,https://www.google.com/maps/search/?api=1&query=Nazenin+Restaurant+%2F+Nazenin+Et+%26+Kebap+Ata%C5%9Fehir+Istanbul,3.8,463,IMPROVABLE,5.4,7.7,MEDIUM,Mevcut site geliştirilebilir; güçlü local SEO/landing-page fırsatı var.,,,Mevcut site geliştirilebilir; güçlü local SEO/landing-page fırsatı var.,Ataşehir et-kebap aramalarında içerik ve dönüşüm optimizasyonu.,Redesign yerine SEO + conversion paketi.,Prior final research; official website and/or current public business records where noted,2026-09-07,NOT_CONTACTED,Older third-party records may associate the address with a previous business; current official domain used.,DRY_RUN_ONLY,FINAL_RESEARCH_SAFE
50,Madalyalı Restoran,ANADOLU,Ataşehir,Ferhatpaşa,"Ferhatpaşa Mah., Ferhatpaşa Yolu Sk. No:133, 34779 Ataşehir/İstanbul",+90 216 471 04 82,,info@madalyali.com.tr,OFFICIAL_VERIFIED,https://madalyali.com.tr,,https://www.google.com/maps/search/?api=1&query=Madalyal%C4%B1+Restoran+Ata%C5%9Fehir+Istanbul,4.2,3126,IMPROVABLE,5.6,8.3,HIGH,Kurumsal içerikte kuruluş yılı çelişkisi bulunuyor.,Tekrarlayan içerik blokları güven/UX kalitesini düşürüyor.,,Kurumsal içerikte kuruluş yılı çelişkisi bulunuyor.,İçerik standardizasyonu + local SEO + dönüşüm odaklı yeniden yapı.,"Siteyi sıfırdan değil, güven ve SEO odaklı modernize et.",Prior final research; official website and/or current public business records where noted,2026-09-07,NOT_CONTACTED,Reservation/WhatsApp: +90 531 884 15 02.,DRY_RUN_ONLY,FINAL_RESEARCH_SAFE
51,Afraze Cafe & Restaurant,ANADOLU,Ümraniye,Çamlık,"Çamlık Mah., İkbal Cd. No:103 D:1, 34774 Ümraniye/İstanbul",+90 216 426 12 12,,info@afrazecafe.com,OFFICIAL_VERIFIED,https://afrazecafe.com,,https://www.google.com/maps/search/?api=1&query=Afraze+Cafe+%26+Restaurant+%C3%9Cmraniye+Istanbul,4.2,697,VERY_WEAK,3.0,9.0,HIGH,Site eski/generic içerik ve hazır tema hissi veriyor.,Eski blog/içerik yapısı güncellik sinyalini zayıflatıyor.,,Site eski/generic içerik ve hazır tema hissi veriyor.,Tam redesign + menü + rezervasyon + Ümraniye local SEO.,Güçlü işletme profilini daha güven veren markalı siteye taşı.,Prior final research; official website and/or current public business records where noted,2026-09-07,NOT_CONTACTED,Other/older phone: +90 216 505 12 15. Extra official email: etkinlik@afrazecafe.com.,DRY_RUN_ONLY,FINAL_RESEARCH_SAFE
52,Hane Kadıköy,ANADOLU,Kadıköy,Osmanağa,"Osmanağa Mah., Mimar Çıkmazı Sok. No:7, 34714 Kadıköy/İstanbul",+90 552 388 03 00,,,THIRD_PARTY_VERIFIED,https://hanekadikoy.com,,https://www.google.com/maps/search/?api=1&query=Hane+Kad%C4%B1k%C3%B6y+Kad%C4%B1k%C3%B6y+Istanbul,4.7,3005,WEAK,4.0,8.7,HIGH,Site içerik olarak çok sınırlı ve local SEO kapsamı zayıf.,,,Site içerik olarak çok sınırlı ve local SEO kapsamı zayıf.,Kadıköy landing pages + menü + rezervasyon + içerik SEO.,Yüksek yorum hacmini organik arama ve rezervasyona dönüştür.,Prior final research; official website and/or current public business records where noted,2026-09-07,NOT_CONTACTED,Third-party email: hanekadikoy@gmail.com; do not auto-email. Other phone: +90 216 550 00 02.,DRY_RUN_ONLY,FINAL_RESEARCH_SAFE
53,Köz Kanat Ataşehir,ANADOLU,Ataşehir,Küçükbakkalköy,"Küçükbakkalköy Mah., Emel Sokağı No:5, 34750 Ataşehir/İstanbul",+90 216 577 75 44,,info@kozkanat.com,OFFICIAL_VERIFIED,https://kozkanat.com,,https://www.google.com/maps/search/?api=1&query=K%C3%B6z+Kanat+Ata%C5%9Fehir+Ata%C5%9Fehir+Istanbul,4.1,3986,IMPROVABLE,5.2,8.4,HIGH,Official site ile güncel işletme kaydı arasında adres/NAP uyumsuzluğu var.,,,Official site ile güncel işletme kaydı arasında adres/NAP uyumsuzluğu var.,NAP temizliği + local SEO + şube/menü sayfaları + conversion.,Google ve site bilgilerinin çelişmesini somut SEO problemi olarak göster.,Prior final research; official website and/or current public business records where noted,2026-09-07,NOT_CONTACTED,General phone: 0850 304 8 444. Official website previously showed older/different address.,DRY_RUN_ONLY,FINAL_RESEARCH_SAFE
54,Katibim Cafe & Restaurant,ANADOLU,Üsküdar,Mimar Sinan,"Mimar Sinan Mah., Şemsi Paşa, Harem Sahil Yolu Cd. No:53, 34672 Üsküdar/İstanbul",+90 216 310 90 80,,info@katibim.com.tr,OFFICIAL_VERIFIED,https://katibim.com.tr,,https://www.google.com/maps/search/?api=1&query=Katibim+Cafe+%26+Restaurant+%C3%9Csk%C3%BCdar+Istanbul,4.0,10458,WEAK,4.2,8.8,HIGH,Site metinlerinde çok sayıda yazım/profesyonellik problemi var.,İletişim sayfasında e-posta domaini kendi içinde tutarsız.,,Site metinlerinde çok sayıda yazım/profesyonellik problemi var.,İçerik temizliği + premium UX + Üsküdar local SEO + rezervasyon CTA.,10K+ yorumlu marka için web güven seviyesini yükselt.,Prior final research; official website and/or current public business records where noted,2026-09-07,NOT_CONTACTED,Mobile: +90 542 528 42 46. Use .com.tr email; site also showed info@katibim.com inconsistently.,DRY_RUN_ONLY,FINAL_RESEARCH_SAFE
